HIP,Fe,Li,Be,C,N,O,Na,Mg,Al,Si,P,S,K,Ca,CaII,Sc,ScII,Ti,TiII,V,VII,Cr,CrII,Mn,Co,Ni,Cu,Zn,Sr,SrII,Y,YII,Zr,ZrII,Mo,Ru,BaII,La,LaII,Ce,CeII,Pr,Nd,Sm,Eu,EuII,Gd,Dy,Hf,Pb
522,0.1,-99.99,-99.99,0.2,-99.99,-0.25,0.04,-0.08,-0.24,0.03,-99.99,-99.99,-99.99,-0.13,-99.99,0.15,-0.09,0.1,0.15,-0.06,-99.99,-0.04,-0.22,-0.14,-0.05,-0.06,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1292,0.08,-99.99,-99.99,0.04,-99.99,-0.39,-0.02,-0.04,-0.07,0.01,-99.99,-99.99,-99.99,0.07,-99.99,0.03,-0.03,0.07,0.03,0.09,-99.99,0.05,-0.32,-0.09,-0.01,0.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2350,0.13,-99.99,-99.99,0.18,-99.99,-0.27,0.05,0.04,0.09,0.06,-99.99,-99.99,-99.99,-0.05,-99.99,0.16,0.05,0.15,0.01,0.36,-99.99,0.01,-0.34,-0.07,0.18,0.05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3497,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7978,0.01,-99.99,-99.99,0.05,-99.99,-0.08,-99.99,-0.06,-99.99,-0.02,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-0.03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9094,0.09,-99.99,-99.99,0.08,-99.99,-0.16,-99.99,0.05,-99.99,0.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
12048,0.17,-99.99,-99.99,0.05,-99.99,-0.22,-0.1,0.02,0.01,-0.01,-99.99,-99.99,-99.99,0.03,-99.99,0.04,0.06,0.07,0.08,0.01,-99.99,0.02,-0.34,-0.1,0.01,0.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
12186,0.14,-99.99,-99.99,0.05,-99.99,-0.18,0.03,0.06,0.04,0.02,-99.99,-99.99,-99.99,0.04,-99.99,0.08,0.09,0.07,0.1,0.02,-99.99,0.01,-0.34,-0.11,0.05,0.04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
12653,0.2,-99.99,-99.99,0,-99.99,-0.26,-0.01,-0.06,-0.08,0,-99.99,-99.99,-99.99,0.04,-99.99,0.08,0.01,0.06,0.02,0.01,-99.99,0.01,-0.29,-0.14,-0.02,0.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
14954,0.25,-99.99,-99.99,0.17,-99.99,-0.08,0.1,-0.11,-0.09,0.03,-99.99,-99.99,-99.99,0,-99.99,0.1,0.12,0.09,0.11,-0.07,-99.99,-0.02,-0.24,-0.05,-0.01,0.05,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
15527,-0.05,-99.99,-99.99,0.11,-99.99,-0.2,-0.04,0.04,0.03,0.01,-99.99,-99.99,-99.99,0.07,-99.99,0.05,0.04,0.09,0.1,0,-99.99,0.01,-0.31,-0.17,-0.02,-0.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
16537,-0.1,-99.99,-99.99,0.23,-99.99,-0.15,-0.04,0.03,0.04,0,-99.99,-99.99,-99.99,0.11,-99.99,0.14,-0.06,0.19,-0.01,0.31,-99.99,0.06,-0.35,-0.13,0.01,-0.02,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
